,cliente_id,recommender,ndcg_score,proporcion_rock
378,Jammer44,whoosh_based_1,0.0,0.0
379,Jammer44,surprise_based_1,0.0,0.5
380,jacquemuse,top_listeners_1,0.0,1.0
381,jacquemuse,top_rating_1,0.0,0.3333333333333333
382,jacquemuse,"top_rating,listeners_1",0.0,0.6666666666666666
383,jacquemuse,whoosh_based_1,0.0,1.0
384,jacquemuse,surprise_based_1,0.0,0.5
385,rikrijean,top_listeners_1,0.0,1.0
386,rikrijean,top_rating_1,0.0,0.3333333333333333
387,rikrijean,"top_rating,listeners_1",0.0,0.6666666666666666
388,rikrijean,whoosh_based_1,0.0,0.5
389,rikrijean,surprise_based_1,0.0,0.5
390,przemekb,top_listeners_1,0.0,1.0
391,przemekb,top_rating_1,0.0,0.3333333333333333
392,przemekb,"top_rating,listeners_1",0.0,0.6666666666666666
393,przemekb,whoosh_based_1,0.0,0.0
394,przemekb,surprise_based_1,0.0,0.5
395,Noellse,top_listeners_1,0.0,1.0
396,Noellse,top_rating_1,0.0,0.3333333333333333
397,Noellse,"top_rating,listeners_1",0.0,0.6666666666666666
398,Noellse,whoosh_based_1,0.0,1.0
399,Noellse,surprise_based_1,0.0,0.5
400,satisfied__mind,top_listeners_1,0.0,1.0
401,satisfied__mind,top_rating_1,0.0,0.3333333333333333
402,satisfied__mind,"top_rating,listeners_1",0.0,0.6666666666666666
403,satisfied__mind,whoosh_based_1,0.0,0.0
404,satisfied__mind,surprise_based_1,0.0,0.5
405,xxxvanessaxx,top_listeners_1,0.0,1.0
406,xxxvanessaxx,top_rating_1,0.0,0.3333333333333333
407,xxxvanessaxx,"top_rating,listeners_1",0.0,0.6666666666666666
408,xxxvanessaxx,whoosh_based_1,0.0,1.0
409,xxxvanessaxx,surprise_based_1,0.0,0.5
410,nsoares,top_listeners_1,0.0,1.0
411,nsoares,top_rating_1,0.0,0.3333333333333333
412,nsoares,"top_rating,listeners_1",0.0,0.6666666666666666
413,nsoares,whoosh_based_1,0.0,0.0
414,nsoares,surprise_based_1,0.0,0.5
415,cauaio,top_listeners_1,0.0,1.0
416,cauaio,top_rating_1,0.0,0.3333333333333333
417,cauaio,"top_rating,listeners_1",0.0,0.6666666666666666
418,cauaio,whoosh_based_1,0.0,0.0
419,cauaio,surprise_based_1,0.0,0.5
420,PurplePostRock,top_listeners_1,0.0,1.0
421,PurplePostRock,top_rating_1,0.0,0.3333333333333333
422,PurplePostRock,"top_rating,listeners_1",0.0,0.6666666666666666
423,PurplePostRock,whoosh_based_1,0.0,1.0
424,PurplePostRock,surprise_based_1,0.0,0.5
425,LickBeforeEntry,top_listeners_1,0.0,1.0
426,LickBeforeEntry,top_rating_1,0.0,0.3333333333333333
427,LickBeforeEntry,"top_rating,listeners_1",0.0,0.6666666666666666
428,LickBeforeEntry,whoosh_based_1,0.0,1.0
429,LickBeforeEntry,surprise_based_1,0.0,0.5
430,yogdao,top_listeners_1,0.0,1.0
431,yogdao,top_rating_1,0.0,0.3333333333333333
432,yogdao,"top_rating,listeners_1",0.0,0.6666666666666666
433,yogdao,whoosh_based_1,0.0,0.0
434,yogdao,surprise_based_1,0.0,0.5
435,lalandmark,top_listeners_1,0.0,1.0
436,lalandmark,top_rating_1,0.0,0.3333333333333333
437,lalandmark,"top_rating,listeners_1",0.0,0.6666666666666666
438,lalandmark,whoosh_based_1,0.0,0.0
439,lalandmark,surprise_based_1,0.0,0.5
440,reteiP,top_listeners_1,0.0,1.0
441,reteiP,top_rating_1,0.0,0.3333333333333333
442,reteiP,"top_rating,listeners_1",0.0,0.6666666666666666
443,reteiP,whoosh_based_1,0.0,0.6666666666666666
444,reteiP,surprise_based_1,0.0,0.6666666666666666
445,polyedu7,top_listeners_1,0.0,1.0
446,polyedu7,top_rating_1,0.0,0.3333333333333333
447,polyedu7,"top_rating,listeners_1",0.0,0.6666666666666666
448,polyedu7,whoosh_based_1,0.0,0.0
449,polyedu7,surprise_based_1,0.0,0.5
450,rekonstruct,top_listeners_1,0.0,1.0
451,rekonstruct,top_rating_1,0.0,0.3333333333333333
452,rekonstruct,"top_rating,listeners_1",0.0,0.6666666666666666
453,rekonstruct,whoosh_based_1,0.0,0.0
454,rekonstruct,surprise_based_1,0.0,0.5
455,Explosions_Hurt,top_listeners_1,0.0,1.0
456,Explosions_Hurt,top_rating_1,0.0,0.3333333333333333
457,Explosions_Hurt,"top_rating,listeners_1",0.0,0.6666666666666666
458,Explosions_Hurt,whoosh_based_1,0.0,0.0
459,Explosions_Hurt,surprise_based_1,0.0,0.5
460,proheel,top_listeners_1,0.0,1.0
461,proheel,top_rating_1,0.0,0.3333333333333333
462,proheel,"top_rating,listeners_1",0.0,0.6666666666666666
463,proheel,whoosh_based_1,0.0,0.0
464,proheel,surprise_based_1,0.0,0.5
465,dadmompawlyk,top_listeners_1,0.0,1.0
466,dadmompawlyk,top_rating_1,0.0,0.3333333333333333
467,dadmompawlyk,"top_rating,listeners_1",0.0,0.6666666666666666
468,dadmompawlyk,whoosh_based_1,0.0,0.16666666666666666
469,dadmompawlyk,surprise_based_1,0.0,0.6666666666666666
470,rootwo,top_listeners_1,0.0,1.0
471,rootwo,top_rating_1,0.0,0.3333333333333333
472,rootwo,"top_rating,listeners_1",0.0,0.6666666666666666
473,rootwo,whoosh_based_1,0.0,0.0
474,rootwo,surprise_based_1,0.0,0.3333333333333333
475,jets1968,top_listeners_1,0.0,1.0
476,jets1968,top_rating_1,0.0,0.3333333333333333
477,jets1968,"top_rating,listeners_1",0.0,0.6666666666666666
478,jets1968,whoosh_based_1,0.0,0.0
479,jets1968,surprise_based_1,0.0,0.5
480,batyamranna,top_listeners_1,0.0,1.0
481,batyamranna,top_rating_1,0.0,0.3333333333333333
482,batyamranna,"top_rating,listeners_1",0.0,0.6666666666666666
483,batyamranna,whoosh_based_1,0.0,0.0
484,batyamranna,surprise_based_1,0.0,0.5
485,actingnmusic,top_listeners_1,0.0,1.0
486,actingnmusic,top_rating_1,0.0,0.3333333333333333
487,actingnmusic,"top_rating,listeners_1",0.0,0.6666666666666666
488,actingnmusic,whoosh_based_1,0.0,0.0
489,actingnmusic,surprise_based_1,0.0,0.5
490,maximeboulet,top_listeners_1,0.0,1.0
491,maximeboulet,top_rating_1,0.0,0.3333333333333333
